taxpayerid,countrycode,year,timeperiod,logprivatecredit,inflation,logtrade,logschooling,growthingini,growthgdppercapita,loginitialgini,span,loginitialgdppercapita,growthlowestincomeshare,loginitiallowestincomeshare
507-25-2203,ARG,1961,1,1.797693135,187851600,2.471437931,1.695616007,-0.0121819,0.0236554,7376699.45,8,89341096,-0.0151701,1.945909977
507-25-2203,ARG,1969,2,1.797693135,343242111,2.542906046,1.825517058,-0.0074875,0.020243799,6402139.66,5,91233530,-0.006558,1.824550033
507-25-2203,ARG,1974,3,1.797693135,175095397,2.615763903,1.840708017,0.024454599,0.0077616,6027770.04,6,92245721,-0.030386901,1.791759968
507-25-2203,ARG,1980,4,-2.081372023,566737793,2.722018003,1.950898051,0.0125921,-0.0360846,7495040.89,9,92711420,-0.022050099,1.609439969
507-25-2203,ARG,1989,5,-1.958770037,880113220,2.78765893,2.095807076,-0.0068383,0.0651033,8628330.23,5,89463806,-0.008979,1.41099
507-25-2203,ARG,1994,6,-1.523746967,23722979,3.064543009,2.135349035,0.0183364,-0.0029945,8286409.38,7,92718973,-0.033527099,1.366090059
143-96-6122,AUS,1967,1,-1.471112013,907311058,3.322326899,2.316291094,0.0078093,0.022977499,4657359.12,9,94821023,-0.0135932,1.887069941
143-96-6122,AUS,1976,2,-1.359022975,992808532,3.449739933,2.330977917,0.030371901,0.016176799,5360200.41,5,96888999,-0.047734901,1.764729977
143-96-6122,AUS,1981,3,-1.234302998,788514995,3.481496096,2.33418107,0.0031778,0.0115446,6878790.86,5,97697839,0.0085119,1.526059985
143-96-6122,AUS,1986,4,-0.660783529,462140083,3.546704054,2.339785099,-0.040395401,0.0176467,7037680.15,7,98275070,0.074844398,1.568619967
143-96-6122,AUS,1993,5,-0.364837706,119745397,3.683008909,2.3670609,0.0228291,0.031847201,4210000.04,5,99510335,-0.151505098,2.092530012
122-55-6636,AUT,1987,1,-0.160579801,286083293,4.249761105,2.049110889,0.0111748,0.0249008,3653941.15,7,97654361,0.0122821,1.97961998
122-55-6636,AUT,1994,2,-0.079668596,108734297,4.330156803,2.086045027,-0.044149999,0.02111,4436180.59,5,99397420,0.0473978,2.065599918
215-40-5492,BEL,1979,1,-1.324612975,528373718,4.885247231,2.109486103,-0.0124152,0.0138302,3410940.17,6,96545524,0.0141499,2.066859961
215-40-5492,BEL,1985,2,-1.078827977,314857888,4.909155846,2.149084091,0.0037365,0.025978601,2666029.93,7,97375326,-0.0080287,2.151760101
215-40-5492,BEL,1992,3,-0.322773486,222394204,4.897898197,2.208273888,-0.0008712,0.0144711,2927579.88,5,99193830,0.0194418,2.095560074
508-66-3760,BGD,1963,1,1.797693135,115954799,3.013667107,-0.187535107,-0.0035743,-0.0241779,619261.98,10,70165629,0.0014389,1.931519985
508-66-3760,BGD,1973,2,1.797693135,318827590,2.874345064,0.247640997,-0.0046651,0.0230978,5835189.82,5,67747840,0.01003,1.945909977
508-66-3760,BGD,1978,3,1.797693135,140781898,3.060735941,0.64027369,0.0046651,0.0284261,5601930.62,5,68902730,-0.0043958,1.996060014
508-66-3760,BGD,1983,4,1.797693135,100322904,2.899666071,0.722220421,-0.044281799,0.0125957,5835189.82,5,70324029,0.054386798,1.974079967
508-66-3760,BGD,1988,5,-1.889016986,542665386,3.056416035,0.788911819,0.0219012,0.027948899,36210.99,7,70953822,-0.011649,2.246020079
