Mary D. Schrum,716-73-0457,ALB+C:C
Carmel D. Flores,507-25-2203,ARG
Edward S. Potter,143-96-6122,AUS
Sylvester J. Kuykendall,122-55-6636,AUT
Jennifer A. Hudson,215-82-7097,BDI
Peter T. Ozment,215-40-5492,BEL
Joseph R. Sosa,650-99-3287,BFA
Cecil B. Garrett,508-66-3760,BGD
James C. Mills,308-22-5232,BGR
Thomas L. Hill,122-57-8231,BOL
Joey W. Arredondo,308-44-1255,BRA
Stephanie P. Bolin,460-01-1523,BWA
Sam N. Bellows,027-16-0327,CAN
Judy C. Petti,453-22-2426,CHE
Thomas R. Ramos,505-28-5641,CHL
John E. Drummond,130-50-3276,CIV
Connie C. Decker,124-92-8794,CMR
Reginald A. McCann,483-44-0218,COL
Linda D. Turner,483-66-1739,CRI
Henry M. Dodson,027-32-2155,DNK
Kelly P. Lowry,002-77-0831,DOM
Barbara T. Lopez,008-23-6578,DZA
Robert K. Payne,040-56-8709,ECU
Kathleen F. Reyes,040-22-9123,EGY
Tommy K. Cohen,035-13-3344,ESP
Irving Q. Berlin,003-28-8852,ETH
Samuel A. Swartz,151-55-2424,FIN
Michael I. Gold,157-11-0021,FJI
Isaac E Asimove,143-88-0101,FRA
John Q. Public,425-65-0246,GAB
Jane H Doe,042-52-6987,GBR
T. A. Kreskin,425-91-5284,GHA
Jonathan R. Carson,429-14-5567,GMB
Sally R. Carpenter,450-51-2456,GRC
Sharon B. Good,479-37-1324,GTM
Jonathan B. Good,485-24-1855,GUY
Alias S. Jones,488-54-1254,HKG
Cynthia B. Knight,490-23-8732,HND
Harold L. Hardrata ,492-44-9123,HRV
Henry T. King,499-99-9191,HUN
Elizabeth B. Queen,500-01-4545,IDN
Mary Q. Scot,502-66-7373,IND
Ridley M. Thistle,504-52-0835,IRL
Lazar I. Wolfe,505-87-3862,IRN
Walter N. Disney,509-33-9572,ISR
Janis C. Joplin,510-01-0345,ITA
Phoebe O. Prial,510-55-0574,JAM
Patricia F. Wells,512-12-1755,JOR
Anthony F. Bourdain,514-77-7836,JPN
C 3. PO,516-88-1104,KEN
R 2. D2,516-77-2204,KOR
Julia R. Child,520-05-1122,LAO
Diane D. Owens,522-31-5925,LKA
Rudy B. Valles,524-06-0811,LSO
John M. Carter,527-02-0265,LUX
Alice B. Waters,527-03-0013,MAR
Ruth S. Bittman,529-12-3101,MDG
Thomas D. Hunter,540-20-2167,MEX
Hunter S. Thompson,575-04-5511,MKD
Jeffery S. Young,541-33-7189,MLI
Amanda F. Tagert,541-27-3802,MNG
Katherine J. Cora,530-25-6134,MRT
Darth E. Vader,680-16-1666,MUS
Alexander D. Grate,150-32-8980,MWI
Molly O. Neil,507-81-2122,MYS
June M. Schultz,155-55-5151,NER
Deborah C. Cadbury,134-62-9876,NGA
Lisa A. Abend,134-21-5283,NIC
Julia S. Powell,137-23-0925,NLD
Lina C. Anderson,137-81-0944,NOR
Brandon M. Pelletier,139-11-7234,NPL
Brynn B. Meads,111-11-1111,NZL
Maurice C. Lainez,111-22-2222,PAK
Towanda W. Roy,112-34-5678,PAN
Louise P. Kent,113-82-5562,PER
Robin R. Jackson,115-41-7631,PHL
Edward M. Livingston,115-44-2563,POL
Fernanda L. Callihan,121-12-1212,PRT
William K. Stanley,122-55-3738,PRY
David J. Abbott,122-23-7131,ROM
Francis M. Costello,125-52-0197,RWA
Kristen P. Mendez,125-72-1999,SEN
Louis M. Meyer,127-01-8236,SGP
Meyer S. Lansky,127-05-1635,SLE
Robert W. Welkos,129-25-5237,SLV
Sandra L. Lansky,129-04-1348,SVN
Chris J. Small,130-13-0277,SWE
Sandy C. Borja,132-25-6111,SYC
Josephine T. Whitaker,133-33-8181,THA
Emily G. Hall,134-71-0800,TTO
Robin D. Miller,135-02-8769,TUN
Amelia W. Figueroa,135-35-6211,TUR
Amanda W. Fountain,136-55-1266,TZA
Carl N. Sherrod,142-66-0709,UGA
Lilian D. Hollins,143-66-0604,URY
Diane J. Weiler,145-55-2561,USA
Mary M. Collier,160-60-7328,VEN
Sylvester K. McMahan,161-27-1236,VNM
James S. Brown,165-43-8702,YEM
Ian M. Dunn,212-98-2703,ZAF
,,ZMB
,,ZWE
