name,taxpayer_id,countrycode,country,year,loginitialgini,growthingini,span,logprivatecredit,inflation,logtrade,logschooling,logcommercialcentralbank,loginitiallowestincomeshare,growthinlowestincomeshare
Edward S. Potter,143-96-6122,AUS,Australia,1981,3.68787908554077,-0.0122439004480839,21,-0.906173825263977,4.3758111000061,3.60936689376831,2.33418107032776,-0.0704459995031357,1.52605605125427,0.0264669004827738
Sylvester J. Kuykendall,122-55-6636,AUT,Austria,1987,3.365394115448,-0.0142799001187086,14,-0.426644504070282,2.01628088951111,4.32285594940186,2.04911088943481,-0.0143408998847008,1.979621052742,0.0230688005685806
Peter T. Ozment,215-40-5492,BEL,Belgium,1983,3.25424289703369,0.00685250014066696,18,-1.15473103523254,2.75111293792725,4.94594812393188,2.14908409118652,-0.0799617022275925,2.25399303436279,-0.00315380003303289
Cecil B. Garrett,508-66-3760,BGD,Bangladesh,1981,3.66356205940247,-0.0109075997024775,19,-1.57546401023865,6.58306789398193,3.13645601272583,0.722220420837402,-0.13546060025692,1.89311194419861,0.0160058997571468
Thomas L. Hill,122-57-8231,BOL,Bolivia,1990,3.73862099647522,0.0409264005720615,10,-1.12674200534821,9.54878044128418,3.88005995750427,1.61402702331543,-0.779563426971436,1.72633194923401,-0.168711096048355
Joey W. Arredondo,308-44-1255,BRA,Brazil,1980,4.05664300918579,0.00273830001242459,21,-1.11158800125122,521.167724609375,2.91885495185852,1.13333594799042,-0.480515599250793,1.0647109746933,-0.00822439976036549
Sam N. Bellows,027-16-0327,CAN,Canada,1981,3.45946598052978,-0.00289159989915788,19,-0.460859596729279,3.44034600257874,4.12265014648438,2.37602090835571,-0.107815898954868,1.87180197238922,0.000118199997814372
Judy C. Petti,453-22-2426,CHE,Switzerland,1982,3.58490705490112,-0.00738490000367165,20,0.225127592682838,2.25681591033936,4.27701807022095,2.31688189506531,-0.0102286003530025,1.99545300006866,0.00396370002999902
Thomas R. Ramos,505-28-5641,CHL,Chile,1980,3.97424602508545,0.00335250003263354,20,-0.841749608516693,15.1184301376343,4.0120120048523,1.85941803455353,-0.582586109638214,1.12710797786713,-0.00294769997708499
John E. Drummond,130-50-3276,CIV,Cote d'Ivoire,1985,3.71868109703064,0.00573530001565814,13,-1.28390896320343,4.7839241027832,4.19512701034546,1.79769313486232e+308,-0.115452200174332,1.73871004581451,-0.0026124999858439
Connie C. Decker,124-92-8794,CMR,Cameroon,1983,3.89181995391846,-0.00572750018909574,18,-1.69234001636505,4.35768985748291,3.84110188484192,0.999528288841248,-0.161880403757095,1.33722698688507,0.0214188992977142
Reginald A. McCann,483-44-0218,COL,Colombia,1988,3.93573999404907,0.00952539965510368,12,-1.44121098518372,22.4874000549316,3.56033301353455,1.54777503013611,-0.237319797277451,1.30833303928375,-0.0353804007172585
Linda D. Turner,483-66-1739,CRI,Costa Rica,1981,3.86051893234253,0.00281589990481734,19,-1.58263099193573,23.4941291809082,4.36321496963501,1.68361699581146,-0.323843389749527,1.19392204284668,0.00544949993491173
Henry M. Dodson,027-32-2155,DNK,Denmark,1981,3.43366503715515,0.0109475003555417,21,-0.982931613922119,3.97635698318481,4.24477481842041,2.21068906784058,-0.152817904949188,1.89761996269226,-0.00347950006835163
Kelly P. Lowry,002-77-0831,DOM,Dominican Republic,1984,3.76792192459106,0.00662910006940365,14,-1.60998797416687,21.4891490936279,4.27127408981323,1.39945697784424,-0.300765097141266,1.68639898300171,-0.00871129985898733
Robert K. Payne,040-56-8709,ECU,Ecuador,1988,3.78214192390442,0.0202674008905888,12,-1.60947704315186,2.72973203659058,4.06434917449951,1.77512204647064,-0.357102811336517,1.49065399169922,-0.0323929004371166
Tommy K. Cohen,035-13-3344,ESP,Spain,1980,3.2880289554596,0.00850170012563467,22,-0.277254313230515,6.85356998443604,3.75360202789307,1.76095700263977,-0.129177704453468,2.10778594017029,-0.00774929998442531
Irving Q. Berlin,003-28-8852,ETH,Ethiopia,1981,3.47877597808838,-0.00461200019344687,19,-1.86104500293732,6.39172506332398,3.38153910636902,1.79769313486232e+308,-0.609793186187744,2.14709997177124,0.0032196999527514
Samuel A. Swartz,151-55-2424,FIN,Finland,1980,3.42946100234985,-0.00812469981610775,23,-0.651299893856049,4.41131496429443,4.10177516937256,1.96892905235291,-0.023862399160862,1.88706994056702,0.0158083997666836
Isaac E Asimove,143-88-0101,FRA,France,1981,3.32794189453125,-0.00152879999950528,21,-0.53136932849884,3.56055903434753,3.8358108997345,1.9370139837265,-0.030748900026083,2.18605089187622,0.00147929997183382
Jane H Doe,042-52-6987,GBR,United Kingdom,1980,3.21486806869507,0.0148034999147058,23,-0.487757503986359,5.09683322906494,3.9794340133667,2.11299705505371,-0.133631601929665,2.32042503356934,-0.0169137008488178
T. A. Kreskin,425-91-5284,GHA,Ghana,1987,3.56529808044434,0.0117440996691585,12,-2.93878293037415,27.5767498016357,4.06415605545044,1.286749958992,-0.948315620422363,1.941614985466,-0.0182374007999897
Sally R. Carpenter,450-51-2456,GRC,Greece,1981,3.50525689125061,-0.00150949996896088,20,-1.26531994342804,14.0798997879028,3.86658096313477,1.98320603370666,-0.259816288948059,1.91397702693939,0.00159660005010664
Sharon B. Good,479-37-1324,GTM,Guatemala,1987,4.06491613388062,0.00200690003111958,13,-1.96096694469452,13.3111696243286,3.75692200660706,1.11185801029205,-0.247555702924728,0.993251800537109,0.015862200409174
Alias S. Jones,488-54-1254,HKG,Hong Kong,1980,3.61899304389954,0.0200402997434139,16,0.320023000240326,8.3170690536499,5.46019792556763,2.07266902923584,1.79769313486232e+308,1.82454895973206,-0.0322634987533092
Cynthia B. Knight,490-23-8732,HND,Honduras,1986,4.00624179840088,0.00469799991697073,13,-1.39170205593109,15.1701097488403,4.34264612197876,1.43627405166626,-0.246244296431541,1.03537702560425,0.00709629990160465
Henry T. King,499-99-9191,HUN,Hungary,1982,3.04309296607971,0.0120785003527999,20,-1.2371289730072,14.7218904495239,4.50809097290039,2.17770195007324,-0.786041676998138,2.42303109169006,-0.00979019980877638
Elizabeth B. Queen,500-01-4545,IDN,Indonesia,1980,3.57262706756592,-0.00196949997916818,22,-1.21143102645874,13.6716403961182,3.99634695053101,1.29937398433685,-0.144651904702187,1.98650300502777,0.00644219992682338
