taxpayerid,countrycode,year,loginitialgini,growthingini,span,loginitialgdppercapita,growthgdppercapita,privcreavg,logprivatecredit,inflation,logtrade,gr_ltrade,gr_school,logschooling,logcommercialcentralbank,loginitiallowestincomeshare,growthinlowestincomeshare
507-25-2203,ARG,1961,3.737669945,0.0054832,40,8.908256531,0.0079693,0.180174097,-1.713832021,250.9662018,2.746769905,0.0205433,2.130940914,1.695616007,-0.217118502,1.945909977,-0.020362699
143-96-6122,AUS,1967,3.465735912,-0.0009994,35,9.223115921,0.022048101,0.404067308,-0.906173825,6.205434799,3.520776987,0.0113778,2.324599028,2.316291094,-0.070446,1.887069941,0.0055655
122-55-6636,AUT,1987,3.365394115,-0.0142799,14,8.746273041,0.030911401,0.652695477,-0.426644504,2.01628089,4.322855949,0.0242626,1.976374984,2.049110889,-0.0143409,1.979621053,0.023068801
215-40-5492,BEL,1979,3.341094017,0.0016588,22,8.869270325,0.0281658,0.315142304,-1.154731035,3.199043989,4.925765038,0.0165167,2.138206005,2.109486103,-0.079961702,2.06686306,0.0059255
508-66-3760,BGD,1963,3.61926198,-0.0044039,37,6.958954811,0.011461,0.206911504,-1.57546401,11.00086021,3.071758032,0.0114786,0.953147471,-0.187535107,-0.1354606,1.931521058,0.0071812
122-57-8231,BOL,1968,3.970292091,-0.0001181,32,7.757301807,0.0036332,0.324087501,-1.126742005,449.4719849,3.906455994,-0.002364,1.667989016,1.530611038,-0.779563427,1.252763033,-0.037923198
308-44-1255,BRA,1960,3.970292091,0.0035087,41,7.689323902,0.027669201,0.329036087,-1.111588001,323.5804138,2.846163034,0.020132599,1.555838943,1.084512949,-0.480515599,1.163151026,-0.0066135
027-16-0327,CAN,1961,3.42751503,0.0012986,39,9.239971161,0.022859,0.630741179,-0.460859597,5.126087189,3.994750023,0.0238155,2.390285015,2.176455021,-0.107815899,1.927163959,0.0015215
453-22-2426,CHE,1982,3.584907055,-0.0073849,20,9.450325012,0.0166144,1.25248301,0.225127593,2.25681591,4.27701807,0.009559,2.233720064,2.316881895,-0.0102286,1.995453,0.0232068
505-28-5641,CHL,1968,3.820785046,0.0082872,32,8.22915554,0.023183599,0.430955887,-0.841749609,73.02008057,3.879908085,0.0233912,1.967512012,1.724907041,-0.58258611,1.504076958,-0.0136226
130-50-3276,CIV,1985,3.718681097,0.0057353,13,7.395059109,0.0053251,0.276952386,-1.283908963,4.783924103,4.19512701,-0.0068133,1.79769313486232e+308,1.79769313486232e+308,-0.1154522,1.738710046,-0.0026125
124-92-8794,CMR,1983,3.891819954,-0.0057275,18,7.426561832,0.0055257,0.184088305,-1.692340016,4.357689857,3.841101885,0.001206,1.208596945,0.999528289,-0.161880404,1.337226987,0.021418899
483-44-0218,COL,1964,4.127133846,-0.0021414,36,7.787152767,0.0191413,0.236641094,-1.441210985,20.47330093,3.422494888,0.017947201,1.630689025,1.096943974,-0.237319797,0.788457394,0.0026475
483-66-1739,CRI,1961,3.912023067,5.12E-05,39,8.127222061,0.0131048,0.205433905,-1.582630992,17.42353058,4.279100895,0.0144345,1.760709047,1.371433973,-0.32384339,1.82454896,-0.013515
027-32-2155,DNK,1963,3.610918045,0.0013498,39,9.138162613,0.0241454,0.374212414,-0.982931614,6.023725986,4.172307968,0.0096696,2.209412098,2.171336889,-0.152817905,1.609437943,0.0055157
002-77-0831,DOM,1976,3.806663036,0.0027438,22,7.282952785,0.0291852,0.199890003,-1.609987974,16.44767952,4.12069416,0.033719901,1.478052974,1.32228899,-0.300765097,1.521774054,0.0019394
040-56-8709,ECU,1968,3.637586117,0.0121177,32,7.527991772,0.0148391,0.199992105,-1.609477043,4.45135498,3.970024109,0.017126299,1.818261027,1.26214695,-0.357102811,1.840549946,-0.023081601
040-22-9123,EGY,1965,3.688879013,-0.0016163,35,7.254628181,0.025818801,0.258149803,-1.354215026,9.67414093,3.906532049,-0.0005735,1.694787025,0.437609613,-0.48955071,1.734905005,0.0025244
035-13-3344,ESP,1965,3.465423107,-0.0008496,37,8.409462929,0.032592401,0.757861793,-0.277254313,8.917740822,3.587690115,0.026409799,1.949336052,1.324419022,-0.129177704,1.967111945,-0.0008057
003-28-8852,ETH,1981,3.478775978,-0.004612,19,6.213924885,0.0056918,0.155510098,-1.861045003,6.391725063,3.381539106,0.0261543,1.79769313486232e+308,1.79769313486232e+308,-0.609793186,2.147099972,0.0032197
151-55-2424,FIN,1962,3.828640938,-0.0142939,41,8.763848305,0.0302715,0.52136761,-0.651299894,6.345836163,4.02432394,0.0133992,2.255454063,1.745365977,-0.023862399,0.875468791,0.034807701
