taxpayerid,countrycode,year,timeperiod,logprivatecredit,inflation,logtrade,logschooling,growthingini,growthgdppercapita,loginitialgini,span,loginitialgdppercapita,growthlowestincomeshare,loginitiallowestincomeshare
507-25-2203,ARG,1961,1,1.79769313486232e+308,18.78516006,2.471437931,1.695616007,-0.0121819,0.0236554,3.737669945,8,8.934109688,-0.0151701,1.945909977
507-25-2203,ARG,1969,2,1.79769313486232e+308,34.32421112,2.542906046,1.825517058,-0.0074875,0.020243799,3.640213966,5,9.123353004,-0.006558,1.824550033
507-25-2203,ARG,1974,3,1.79769313486232e+308,175.0953979,2.615763903,1.840708017,0.024454599,0.0077616,3.602777004,6,9.224572182,-0.030386901,1.791759968
507-25-2203,ARG,1980,4,-2.081372023,566.737793,2.722018003,1.950898051,0.0125921,-0.0360846,3.749504089,9,9.271142006,-0.022050099,1.609439969
507-25-2203,ARG,1989,5,-1.958770037,880.1132202,2.78765893,2.095807076,-0.0068383,0.0651033,3.862833023,5,8.946380615,-0.008979,1.41099
507-25-2203,ARG,1994,6,-1.523746967,0.237229794,3.064543009,2.135349035,0.0183364,-0.0029945,3.828640938,7,9.271897316,-0.033527099,1.366090059
143-96-6122,AUS,1967,1,-1.471112013,9.07311058,3.322326899,2.316291094,0.0078093,0.022977499,3.465735912,9,9.482102394,-0.0135932,1.887069941
143-96-6122,AUS,1976,2,-1.359022975,9.928085327,3.449739933,2.330977917,0.030371901,0.016176799,3.536020041,5,9.688899994,-0.047734901,1.764729977
143-96-6122,AUS,1981,3,-1.234302998,7.885149956,3.481496096,2.33418107,0.0031778,0.0115446,3.687879086,5,9.769783974,0.0085119,1.526059985
143-96-6122,AUS,1986,4,-0.660783529,4.621400833,3.546704054,2.339785099,-0.040395401,0.0176467,3.703768015,7,9.827507019,0.074844398,1.568619967
143-96-6122,AUS,1993,5,-0.364837706,1.197453976,3.683008909,2.3670609,0.0228291,0.031847201,3.421000004,5,9.951033592,-0.151505098,2.092530012
122-55-6636,AUT,1987,1,-0.160579801,2.86083293,4.249761105,2.049110889,0.0111748,0.0249008,3.365394115,7,9.765436172,0.0122821,1.97961998
122-55-6636,AUT,1994,2,-0.079668596,1.087342978,4.330156803,2.086045027,-0.044149999,0.02111,3.443618059,5,9.939742088,0.0473978,2.065599918
215-40-5492,BEL,1979,1,-1.324612975,5.283737183,4.885247231,2.109486103,-0.0124152,0.0138302,3.341094017,6,9.65455246,0.0141499,2.066859961
215-40-5492,BEL,1985,2,-1.078827977,3.148578882,4.909155846,2.149084091,0.0037365,0.025978601,3.266602993,7,9.737532616,-0.0080287,2.151760101
215-40-5492,BEL,1992,3,-0.322773486,2.223942041,4.897898197,2.208273888,-0.0008712,0.0144711,3.292757988,5,9.919383049,0.0194418,2.095560074
508-66-3760,BGD,1963,1,1.79769313486232e+308,11.59547997,3.013667107,-0.187535107,-0.0035743,-0.0241779,3.61926198,10,7.016562939,0.0014389,1.931519985
508-66-3760,BGD,1973,2,1.79769313486232e+308,31.88275909,2.874345064,0.247640997,-0.0046651,0.0230978,3.583518982,5,6.774784088,0.01003,1.945909977
508-66-3760,BGD,1978,3,1.79769313486232e+308,14.07818985,3.060735941,0.64027369,0.0046651,0.0284261,3.560193062,5,6.890273094,-0.0043958,1.996060014
508-66-3760,BGD,1983,4,1.79769313486232e+308,10.03229046,2.899666071,0.722220421,-0.044281799,0.0125957,3.583518982,5,7.032402992,0.054386798,1.974079967
508-66-3760,BGD,1988,5,-1.889016986,5.426653862,3.056416035,0.788911819,0.0219012,0.027948899,3.3621099,7,7.095382214,-0.011649,2.246020079
508-66-3760,BGD,1995,6,-1.510342956,3.797498941,3.43957305,0.878381193,-0.0118204,0.0275665,3.515419006,5,7.291024208,0.0065506,2.164469957
122-57-8231,BOL,1968,1,-2.106602907,641.0350952,3.917152882,1.530611038,-0.0105305,-0.0012522,3.970292091,22,7.829751015,0.0215258,1.252760053
122-57-8231,BOL,1990,2,-1.075795054,12.18220997,3.879241943,1.614027023,0.045198798,0.0133158,3.738620996,5,7.802203178,-0.114562303,1.726330042
122-57-8231,BOL,1995,3,-0.608969808,7.228438854,3.885375023,1.669026971,0.0003791,0.0082228,3.96461606,5,7.868782043,0.0044106,1.153519988
308-44-1255,BRA,1960,1,1.79769313486232e+308,30.78543091,2.563797951,1.048370957,0.0083404,0.042295299,3.970292091,10,7.771254063,0,1.163149953
308-44-1255,BRA,1970,2,1.79769313486232e+308,27.92070007,2.844213963,1.094269991,0.0075784,0.071728997,4.053696156,6,8.194207191,-0.0624489,1.163149953
308-44-1255,BRA,1976,3,1.79769313486232e+308,64.31130981,2.83376503,1.133335948,-0.0168451,0.0147861,4.099165916,5,8.624581337,0.068588898,0.788460016
308-44-1255,BRA,1981,4,1.79769313486232e+308,157.0037994,2.922449112,1.24674499,-0.0032746,0.0156145,4.014941216,5,8.698512077,0,1.131399989
308-44-1255,BRA,1986,5,-1.349647999,1026.619995,2.797689915,1.391281962,0.017325999,-0.004184,3.998568058,7,8.776584625,-0.051613402,1.131399989
308-44-1255,BRA,1993,6,-1.102462053,723.9719238,2.878235102,1.492903948,-0.0084624,0.0134733,4.119850159,5,8.747296333,0.0355362,0.770110011
460-01-1523,BWA,1985,1,-2.317955971,12.87164974,4.650877953,1.281489015,-0.0006372,0.0374205,3.992865086,9,8.322672844,0.044009998,1.280930042
027-16-0327,CAN,1965,1,-1.186174035,4.286291122,3.706579924,2.176455021,0.0032891,0.025495101,3.453474045,6,9.429001808,-0.0131263,1.96431005
027-16-0327,CAN,1971,2,-0.77408731,8.777280807,3.818583012,2.278496981,-0.0014017,0.032866601,3.473207951,6,9.581972122,-0.0043558,1.885550022
027-16-0327,CAN,1977,3,-0.309326202,8.93680954,3.934832096,2.333599091,-0.016760699,0.0077171,3.464797974,5,9.779171944,0.0286825,1.859419942
027-16-0327,CAN,1982,4,-0.271032095,4.617798805,3.953628063,2.376020908,0.018690599,0.033755701,3.380995035,5,9.817757607,-0.018657601,2.002830029
027-16-0327,CAN,1987,5,-0.139539599,2.976131916,4.019217968,2.396986008,-0.003313,0.005027,3.474447966,7,9.986536026,0.0152985,1.909540057
027-16-0327,CAN,1994,6,-0.0548581,1.262531996,4.333088875,2.432910919,0.025896201,0.0280344,3.45125699,5,10.02171993,-0.0238965,2.016629934
453-22-2426,CHE,1982,1,0.345846415,3.573959112,4.244959831,2.316881895,-0.0004169,0.0130559,3.584907055,10,9.991249084,-0.017090401,1.99545002
453-22-2426,CHE,1992,2,0.47839579,0.925536394,4.230846882,2.332823038,-0.019688601,0.0038319,3.580737114,6,10.12180996,0.0428854,1.824550033
505-28-5641,CHL,1968,1,-2.023370981,163.1492004,3.623790979,1.724907041,0.0127885,0.0129011,3.820785046,12,8.44154644,-0.031414099,1.504080057
505-28-5641,CHL,1980,2,-0.715968728,21.37471008,3.899799109,1.859418035,0.0083935,-0.0021629,3.974246025,7,8.596360207,0.016721001,1.127110004
505-28-5641,CHL,1987,3,-0.801836014,18.77667999,4.134422779,1.940897942,-0.021415001,0.058952101,4.033000946,5,8.581219673,0.033366501,1.244160056
505-28-5641,CHL,1992,4,-0.557566702,9.026968002,4.037127972,1.981001019,0.0162731,0.052395798,3.92592597,6,8.875980377,-0.071333997,1.41099
130-50-3276,CIV,1985,1,-1.049144983,-0.541634917,4.135237217,1.79769313486232e+308,-0.0137748,-0.020653,3.718681097,8,7.750678062,0.026789701,1.738710046
130-50-3276,CIV,1993,2,-1.590605974,13.00063992,4.252957821,1.79769313486232e+308,0.0369514,0.0023921,3.608483076,5,7.585453987,-0.049655899,1.95302999
124-92-8794,CMR,1983,1,-1.579635024,5.264876842,3.787439108,0.999528289,0.0150643,-0.024369299,3.891819954,13,7.863611221,-0.038793702,1.337229967
124-92-8794,CMR,1996,2,-2.584502935,2.414750099,3.944617987,1.264127016,-0.0597861,0.0212611,4.087656021,5,7.546811104,0.177971497,0.832910001
483-44-0218,COL,1964,1,-1.693128943,10.27906036,3.267352104,1.096943974,-0.029251,0.0201608,4.127133846,6,7.937161922,0.192431897,0.788460016
483-44-0218,COL,1970,2,-1.649423957,19.52467918,3.400167942,1.115468979,0.0058216,0.032729499,3.95162797,8,8.058127403,-0.1014558,1.943050027
483-44-0218,COL,1978,3,-1.344411969,24.00425911,3.336824894,1.483193994,-0.0062461,0.0140606,3.998200893,10,8.319963455,0.0176931,1.131399989
483-44-0218,COL,1988,4,-1.449393988,27.38970947,3.528836012,1.54777503,0.0163293,0.0211812,3.935739994,7,8.460569382,-0.0211874,1.308330059
483-44-0218,COL,1995,5,-1.115566969,15.34492016,3.602305889,1.602211952,0,-0.0035503,4.050045013,5,8.608838081,-0.055250701,1.160019994
483-66-1739,CRI,1961,1,-1.366808057,1.83348,4.063156128,1.425995946,0,0.023624999,3.912023067,8,8.1049757,-0.0149752,1.824550033
483-66-1739,CRI,1969,2,-1.372356057,12.98633957,4.208334923,1.371433973,0,0.0352141,3.912023067,8,8.29397583,-0.084391102,1.704749942
483-66-1739,CRI,1977,3,-1.43443203,29.68346977,4.289369106,1.646733999,-0.034870699,-0.031341899,3.912023067,5,8.575688362,0.124437101,1.029620051
483-66-1739,CRI,1982,4,-1.760339975,26.57802963,4.261518955,1.683616996,0.0132132,0.0110513,3.737669945,7,8.418978691,-0.037930101,1.65181005
483-66-1739,CRI,1989,5,-2.097012043,22.80402946,4.335344791,1.714517951,0.003098,0.0072233,3.830162048,7,8.496337891,0.0014215,1.386289954
027-32-2155,DNK,1963,1,-1.292032003,8.797588348,4.049619198,2.171336889,-0.0136101,0.029533301,3.610918045,13,9.402224541,0.025772501,1.609439969
027-32-2155,DNK,1976,2,-1.39340198,9.443716049,4.132648945,2.195223093,-6.45E-05,-0.0002617,3.433986902,5,9.786158562,-0.0093721,1.944479942
027-32-2155,DNK,1981,3,-1.361065984,7.696240902,4.249368191,2.210689068,0.051043,0.034372699,3.433665037,5,9.784850121,-0.032543,1.897619963
027-32-2155,DNK,1986,4,-0.785848379,3.882105112,4.176568985,2.259886026,-0.0050636,0.0080029,3.688879013,5,9.956713676,0.0081089,1.734910011
027-32-2155,DNK,1991,5,-1.030660987,2.172626972,4.20028019,2.239964962,-0.0034543,0.020152699,3.663562059,6,9.996727943,0.0134747,1.775449991
027-32-2155,DNK,1997,6,-0.2509799,1.954169035,4.33590889,2.268096924,0.0041452,0.0165831,3.642836094,5,10.11763954,-0.0063497,1.856299996
002-77-0831,DOM,1976,1,-1.280490994,8.382110596,3.803462982,1.32228899,-0.0048426,0.0198348,3.806663036,8,7.883338928,0.020578099,1.52177
002-77-0831,DOM,1984,2,-1.34671402,26.74206924,4.199413776,1.399456978,0.030651901,0.0130726,3.767921925,5,8.042016983,-0.050262898,1.686400056
002-77-0831,DOM,1989,3,-1.483500004,21.49183083,4.232163906,1.489977956,-0.0050424,0.0240543,3.921180964,7,8.107379913,0.0026955,1.435080051
008-23-6578,DZA,1988,1,-1.33088696,25.29071999,3.871853113,1.447625041,-0.0132474,-0.016704701,3.656615019,7,8.554472923,0.0041411,1.916919947
040-56-8709,ECU,1968,1,-1.649755955,4.937057018,3.912905931,1.26214695,0.0072278,0.028070301,3.637586117,20,7.701180935,-0.0174948,1.840549946
040-56-8709,ECU,1988,2,-1.839293003,7.592562199,4.110281944,1.775122046,-0.0034903,0.0001125,3.782141924,6,8.262586594,0.0313849,1.490650058
040-56-8709,ECU,1994,3,-1.255905986,1.200247049,3.954857111,1.815639019,0.062588401,-0.0226776,3.761199951,5,8.263261795,-0.183631599,1.678959966
040-22-9123,EGY,1959,1,-1.534919977,3.052264929,3.660556078,1.79769313486232e+308,-0.0081317,0.035394501,3.737669945,6,7.259133816,0.01385,1.65181005
040-22-9123,EGY,1965,2,-1.76127696,4.695662975,3.643569946,0.437609613,-0.0051293,-0.0038521,3.688879013,10,7.471500874,0.0080448,1.734910011
040-22-9123,EGY,1975,3,-1.383926034,13.64640045,4.077076912,0.437609613,-0.0107406,0.043149799,3.637586117,16,7.432980061,0.021748099,1.815350056
040-22-9123,EGY,1991,4,-1.230661988,11.60826015,4.007423878,1.606433034,0.0150447,0.0185175,3.465735912,5,8.123375893,-0.0426156,2.163320065
035-13-3344,ESP,1965,1,-0.367255002,7.89772892,3.186353922,1.324419022,0.018557901,0.054785799,3.465423107,8,8.850598335,-0.0184267,1.967110038
035-13-3344,ESP,1973,2,-0.311842114,16.92086029,3.374515057,1.555614948,-0.046551101,0.0087603,3.613887072,7,9.288885117,0.041155301,1.819700003
